#OTU ID	ERR4264700	ERR4264711	ERR4264748	ERR4264769	ERR4264780	ERR4264831	Taxon	Confidence
33c7d8d1b079c20920f5e1e57e66a94b	667.0	1280.0	0.0	13734.0	16.0	0.0	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-352;s__	0.8917573494280703
83a5381789d9b36ee36d3a312617f938	570.0	1269.0	22.0	13281.0	27.0	163.0	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-352;s__	0.8815111990101029
35e9ed5a2e4501f4fe7e74b883a0b459	0.0	0.0	0.0	0.0	20.0	5432.0	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002;s__	0.9987592286419376
bd648733d6f8fc866ae65ad5b8e403c7	281.0	146.0	463.0	2708.0	1389.0	381.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	0.9999975014922832
86feabb84ba7dc85bdef5742797340b5	36.0	45.0	1691.0	2976.0	384.0	224.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	0.9999632734822675
14af61777bb96cbe934db91a9aabeeaf	177.0	144.0	0.0	2921.0	1098.0	337.0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	0.999857882575879
1f70a07d83fe08f12459a877c8ed3f60	86.0	0.0	227.0	688.0	2412.0	594.0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	0.999991167460662
d2affc6e3195b1340dff16b2b6371ea5	174.0	83.0	0.0	2927.0	0.0	142.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	0.9999761896806012
26207a351efe75cbfa09a30200441fb0	0.0	0.0	0.0	0.0	0.0	3152.0	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002;s__	0.9978940521710083
9cce7d2f792227c408296b5f05a4df12	0.0	33.0	92.0	2528.0	11.0	49.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	0.9919499979877976
5dbaa2664ccc3777d2bb0f2bd1db54de	59.0	159.0	88.0	1464.0	496.0	445.0	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__	0.9998256765836396
c78c82104d8ddd585b42e1d39d57b965	149.0	145.0	189.0	63.0	270.0	1781.0	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__	0.9958151083549414
d443d45b9452b33e2f15317f488a8aff	175.0	351.0	274.0	27.0	377.0	1025.0	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	0.9999965820286298
da37e5beb616a83e5a34ef2c35c387e3	140.0	305.0	239.0	27.0	390.0	1055.0	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	0.9999962421276912
a60225949f650452f3786ad45b0a8286	248.0	0.0	251.0	1616.0	0.0	37.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__	0.9999999989758236
fcbfb00c696a2df779a2356a5872e357	267.0	392.0	234.0	16.0	578.0	537.0	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	0.9994894621092352
58aa178143966e70ddfe0b08be01f92f	0.0	0.0	0.0	0.0	32.0	1952.0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	0.9981452503123108
321667c63fe6949699190948ea3aa82f	685.0	4.0	15.0	3.0	397.0	792.0	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__	0.999987024718388
